+----------------------------+------------------------+----------------+----------+---------------+----------------+----------------+--------+
|        MobilenetV2         |       layer name       | Neuron numbers | MACs (M) |   Parameters  |  Input shape   |  Output shape  | Kernel |
+----------------------------+------------------------+----------------+----------+---------------+----------------+----------------+--------+
|          input_1           |       InputLayer       |     150528     |    -     |       -       |       -        |       -        |   -    |
|           Conv1            |         Conv2D         |     401408     |  10.84   |      864      | (225, 225, 3)  | (112, 112, 32) | (3, 3) |
|          bn_Conv1          |   BatchNormalization   |     401408     |   0.8    |      128      | (112, 112, 32) | (112, 112, 32) |   -    |
|         block_conv         |    DepthwiseConv2D     |     401408     |   3.61   |      288      | (112, 112, 32) | (112, 112, 32) | (3, 3) |
| expanded_conv_depthwise_BN |   BatchNormalization   |     401408     |   0.8    |      128      | (112, 112, 32) | (112, 112, 32) |   -    |
|   expanded_conv_project    |         Conv2D         |     200704     |   6.42   |      512      | (112, 112, 32) | (112, 112, 16) | (1, 1) |
|  expanded_conv_project_BN  |   BatchNormalization   |     200704     |   0.4    |       64      | (112, 112, 16) | (112, 112, 16) |   -    |
|          block_1           |         Conv2D         |    1204224     |  19.27   |      1536     | (112, 112, 16) | (112, 112, 96) | (1, 1) |
|     block_1_expand_BN      |   BatchNormalization   |    1204224     |   2.41   |      384      | (112, 112, 96) | (112, 112, 96) |   -    |
|          block_1           |    DepthwiseConv2D     |     301056     |   2.71   |      864      | (113, 113, 96) |  (56, 56, 96)  | (3, 3) |
|    block_1_depthwise_BN    |   BatchNormalization   |     301056     |   0.6    |      384      |  (56, 56, 96)  |  (56, 56, 96)  |   -    |
|          block_1           |         Conv2D         |     75264      |   7.23   |      2304     |  (56, 56, 96)  |  (56, 56, 24)  | (1, 1) |
|     block_1_project_BN     |   BatchNormalization   |     75264      |   0.15   |       96      |  (56, 56, 24)  |  (56, 56, 24)  |   -    |
|          block_2           |         Conv2D         |     451584     |  10.84   |      3456     |  (56, 56, 24)  | (56, 56, 144)  | (1, 1) |
|     block_2_expand_BN      |   BatchNormalization   |     451584     |   0.9    |      576      | (56, 56, 144)  | (56, 56, 144)  |   -    |
|          block_2           |    DepthwiseConv2D     |     451584     |   4.06   |      1296     | (56, 56, 144)  | (56, 56, 144)  | (3, 3) |
|    block_2_depthwise_BN    |   BatchNormalization   |     451584     |   0.9    |      576      | (56, 56, 144)  | (56, 56, 144)  |   -    |
|          block_2           |         Conv2D         |     75264      |  10.84   |      3456     | (56, 56, 144)  |  (56, 56, 24)  | (1, 1) |
