+---------------------+------------------------+----------------+-----------+-----------------+----------------+----------------+--------------------+
|       ResNet50      |       layer name       | Neuron numbers |  MACs (M) |    Parameters   |  Input shape   |  Output shape  |       Kernel       |
+---------------------+------------------------+----------------+-----------+-----------------+----------------+----------------+--------------------+
|       input_1       |       InputLayer       |     150528     |     -     |        -        |       -        |       -        |         -          |
|      conv1_conv     |         Conv2D         |     802816     |   118.82  |       9472      | (230, 230, 3)  | (112, 112, 64) |       (7, 7)       |
|       conv1_bn      |   BatchNormalization   |     802816     |    1.61   |       256       | (112, 112, 64) | (112, 112, 64) |         -          |
|      pool1_pool     |      MaxPooling2D      |     200704     |    0.63   |        0        | (114, 114, 64) |  (56, 56, 64)  | 2.0357142857142856 |
| conv2_block1_1_conv |         Conv2D         |     200704     |   13.05   |       4160      |  (56, 56, 64)  |  (56, 56, 64)  |       (1, 1)       |
|  conv2_block1_1_bn  |   BatchNormalization   |     200704     |    0.4    |       256       |  (56, 56, 64)  |  (56, 56, 64)  |         -          |
| conv2_block1_2_conv |         Conv2D         |     200704     |   115.81  |      36928      |  (56, 56, 64)  |  (56, 56, 64)  |       (3, 3)       |
|  conv2_block1_2_bn  |   BatchNormalization   |     200704     |    0.4    |       256       |  (56, 56, 64)  |  (56, 56, 64)  |         -          |
| conv2_block1_0_conv |         Conv2D         |     802816     |   52.18   |      16640      |  (56, 56, 64)  | (56, 56, 256)  |       (1, 1)       |
| conv2_block1_3_conv |         Conv2D         |     802816     |   52.18   |      16640      |  (56, 56, 64)  | (56, 56, 256)  |       (1, 1)       |
|  conv2_block1_0_bn  |   BatchNormalization   |     802816     |    1.61   |       1024      | (56, 56, 256)  | (56, 56, 256)  |         -          |
|  conv2_block1_3_bn  |   BatchNormalization   |     802816     |    1.61   |       1024      | (56, 56, 256)  | (56, 56, 256)  |         -          |
| conv2_block2_1_conv |         Conv2D         |     200704     |   51.58   |      16448      | (56, 56, 256)  |  (56, 56, 64)  |       (1, 1)       |
|  conv2_block2_1_bn  |   BatchNormalization   |     200704     |    0.4    |       256       |  (56, 56, 64)  |  (56, 56, 64)  |         -          |
| conv2_block2_2_conv |         Conv2D         |     200704     |   115.81  |      36928      |  (56, 56, 64)  |  (56, 56, 64)  |       (3, 3)       |
|  conv2_block2_2_bn  |   BatchNormalization   |     200704     |    0.4    |       256       |  (56, 56, 64)  |  (56, 56, 64)  |         -          |
| conv2_block2_3_conv |         Conv2D         |     802816     |   52.18   |      16640      |  (56, 56, 64)  | (56, 56, 256)  |       (1, 1)       |
