+--------------+--------------+----------------+------------+-------------------+-----------------+-----------------+--------+
|    VGG16     |  layer name  | Neuron numbers |  MACs (M)  |     Parameters    |   Input shape   |   Output shape  | Kernel |
+--------------+--------------+----------------+------------+-------------------+-----------------+-----------------+--------+
|   input_1    |  InputLayer  |     150528     |     -      |         -         |        -        |        -        |   -    |
| block1_conv1 |    Conv2D    |    3211264     |   89.92    |        1792       |  (224, 224, 3)  |  (224, 224, 64) | (3, 3) |
| block1_conv2 |    Conv2D    |    3211264     |   1852.9   |       36928       |  (224, 224, 64) |  (224, 224, 64) | (3, 3) |
| block1_pool  | MaxPooling2D |     802816     |    2.41    |         0         |  (224, 224, 64) |  (112, 112, 64) |  2.0   |
| block2_conv1 |    Conv2D    |    1605632     |   926.45   |       73856       |  (112, 112, 64) | (112, 112, 128) | (3, 3) |
| block2_conv2 |    Conv2D    |    1605632     |  1851.29   |       147584      | (112, 112, 128) | (112, 112, 128) | (3, 3) |
| block2_pool  | MaxPooling2D |     401408     |    1.2     |         0         | (112, 112, 128) |  (56, 56, 128)  |  2.0   |
| block3_conv1 |    Conv2D    |     802816     |   925.65   |       295168      |  (56, 56, 128)  |  (56, 56, 256)  | (3, 3) |
| block3_conv2 |    Conv2D    |     802816     |  1850.49   |       590080      |  (56, 56, 256)  |  (56, 56, 256)  | (3, 3) |
| block3_conv3 |    Conv2D    |     802816     |  1850.49   |       590080      |  (56, 56, 256)  |  (56, 56, 256)  | (3, 3) |
| block3_pool  | MaxPooling2D |     200704     |    0.6     |         0         |  (56, 56, 256)  |  (28, 28, 256)  |  2.0   |
| block4_conv1 |    Conv2D    |     401408     |   925.25   |      1180160      |  (28, 28, 256)  |  (28, 28, 512)  | (3, 3) |
| block4_conv2 |    Conv2D    |     401408     |  1850.09   |      2359808      |  (28, 28, 512)  |  (28, 28, 512)  | (3, 3) |
| block4_conv3 |    Conv2D    |     401408     |  1850.09   |      2359808      |  (28, 28, 512)  |  (28, 28, 512)  | (3, 3) |
| block4_pool  | MaxPooling2D |     100352     |    0.3     |         0         |  (28, 28, 512)  |  (14, 14, 512)  |  2.0   |
| block5_conv1 |    Conv2D    |     100352     |   462.52   |      2359808      |  (14, 14, 512)  |  (14, 14, 512)  | (3, 3) |
| block5_conv2 |    Conv2D    |     100352     |   462.52   |      2359808      |  (14, 14, 512)  |  (14, 14, 512)  | (3, 3) |
| block5_conv3 |    Conv2D    |     100352     |   462.52   |      2359808      |  (14, 14, 512)  |  (14, 14, 512)  | (3, 3) |
| block5_pool  | MaxPooling2D |     25088      |    0.08    |         0         |  (14, 14, 512)  |   (7, 7, 512)   |  2.0   |
|     fc1      |    Dense     |     25088      |   102.76   |     102764544     |     (25088,)    |     (4096,)     |   -    |
|     fc2      |    Dense     |      4096      |   16.78    |      16781312     |     (4096,)     |     (4096,)     |   -    |
| predictions  |    Dense     |      4096      |    4.1     |      4097000      |     (4096,)     |     (1000,)     |   -    |
|    Total     |      -       |    13.73 M     | 15483.81 M | 138.358/138.358 M |        -        |        -        |   -    |
+--------------+--------------+----------------+------------+-------------------+-----------------+-----------------+--------+
